system,query,atcs,hallucination_rate,clinical_f1,rouge_l,safety_binary_pass,latency,num_claims,run_number
KG-RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.184,1,277.91,1,1
Standard RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.132,1,51.51,1,1
LLM-only,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,100.0,0.0,0.0,0,70.27,3,1
KG-RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.147,1,107.23,6,1
KG-RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.165,1,3.25,1,2
KG-RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.171,1,3.58,4,3
Standard RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.165,1,2.39,1,1
Standard RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.167,1,3.27,3,2
Standard RAG,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,0.0,1.0,0.09,1,2.72,4,3
LLM-only,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,100.0,0.0,0.0,0,2.32,5,1
LLM-only,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,100.0,0.0,0.0,0,2.98,7,2
LLM-only,What should be considered for a patient presenting with COVID-19 and respiratory distress?,0.0,100.0,0.0,0.0,0,2.59,5,3
KG-RAG,What are the concerns for an elderly patient with fever and hospitalization?,0.0,25.0,0.75,0.126,0,20.24,4,1
KG-RAG,What are the concerns for an elderly patient with fever and hospitalization?,20.0,80.0,0.2,0.128,0,5.16,5,2
KG-RAG,What are the concerns for an elderly patient with fever and hospitalization?,33.33,33.33,0.667,0.143,0,11.95,3,3
Standard RAG,What are the concerns for an elderly patient with fever and hospitalization?,0.0,0.0,1.0,0.11,1,2.93,4,1
Standard RAG,What are the concerns for an elderly patient with fever and hospitalization?,0.0,0.0,1.0,0.109,1,5.66,2,2
Standard RAG,What are the concerns for an elderly patient with fever and hospitalization?,0.0,0.0,1.0,0.212,1,2.45,4,3
LLM-only,What are the concerns for an elderly patient with fever and hospitalization?,0.0,100.0,0.0,0.0,0,3.32,5,1
LLM-only,What are the concerns for an elderly patient with fever and hospitalization?,0.0,100.0,0.0,0.0,0,3.89,8,2
LLM-only,What are the concerns for an elderly patient with fever and hospitalization?,0.0,100.0,0.0,0.0,0,3.58,4,3
KG-RAG,What should be evaluated in a patient with acute kidney injury?,28.57,14.29,0.857,0.097,0,22.87,7,1
KG-RAG,What should be evaluated in a patient with acute kidney injury?,28.57,14.29,0.857,0.107,0,7.58,7,2
KG-RAG,What should be evaluated in a patient with acute kidney injury?,40.0,0.0,1.0,0.108,1,6.36,5,3
Standard RAG,What should be evaluated in a patient with acute kidney injury?,0.0,0.0,1.0,0.086,1,6.5,1,1
Standard RAG,What should be evaluated in a patient with acute kidney injury?,0.0,0.0,1.0,0.163,1,2.98,5,2
Standard RAG,What should be evaluated in a patient with acute kidney injury?,0.0,0.0,1.0,0.113,1,5.86,4,3
LLM-only,What should be evaluated in a patient with acute kidney injury?,0.0,100.0,0.0,0.0,0,3.05,5,1
LLM-only,What should be evaluated in a patient with acute kidney injury?,0.0,100.0,0.0,0.0,0,3.93,6,2
LLM-only,What should be evaluated in a patient with acute kidney injury?,0.0,100.0,0.0,0.0,0,344.84,22,3
KG-RAG,What symptoms are associated with dyspnea in hospitalized patients?,66.67,0.0,1.0,0.156,1,19.0,3,1
KG-RAG,What symptoms are associated with dyspnea in hospitalized patients?,0.0,100.0,0.0,0.093,0,3.86,1,2
KG-RAG,What symptoms are associated with dyspnea in hospitalized patients?,100.0,0.0,1.0,0.044,1,2.52,1,3
Standard RAG,What symptoms are associated with dyspnea in hospitalized patients?,0.0,0.0,1.0,0.077,1,1.91,1,1
Standard RAG,What symptoms are associated with dyspnea in hospitalized patients?,0.0,0.0,1.0,0.08,1,3.03,2,2
Standard RAG,What symptoms are associated with dyspnea in hospitalized patients?,0.0,33.33,0.667,0.225,0,3.15,3,3
LLM-only,What symptoms are associated with dyspnea in hospitalized patients?,0.0,100.0,0.0,0.0,0,5.72,7,1
LLM-only,What symptoms are associated with dyspnea in hospitalized patients?,0.0,100.0,0.0,0.0,0,2.99,5,2
LLM-only,What symptoms are associated with dyspnea in hospitalized patients?,0.0,100.0,0.0,0.0,0,3.92,3,3
KG-RAG,What should be considered for a patient with oxygen desaturation?,50.0,0.0,1.0,0.11,1,21.19,2,1
KG-RAG,What should be considered for a patient with oxygen desaturation?,100.0,0.0,1.0,0.11,1,3.73,1,2
KG-RAG,What should be considered for a patient with oxygen desaturation?,0.0,0.0,1.0,0.029,1,4.66,1,3
Standard RAG,What should be considered for a patient with oxygen desaturation?,0.0,0.0,1.0,0.111,1,2.49,6,1
Standard RAG,What should be considered for a patient with oxygen desaturation?,0.0,100.0,0.0,0.158,0,3.18,1,2
Standard RAG,What should be considered for a patient with oxygen desaturation?,0.0,0.0,1.0,0.119,1,6.4,4,3
LLM-only,What should be considered for a patient with oxygen desaturation?,0.0,100.0,0.0,0.0,0,2.88,4,1
LLM-only,What should be considered for a patient with oxygen desaturation?,0.0,100.0,0.0,0.0,0,1.73,4,2
LLM-only,What should be considered for a patient with oxygen desaturation?,0.0,100.0,0.0,0.0,0,2.69,4,3
